Įstaigos_kodas;Gydytojo_ID;Įrašo_sukūrimo_data
124244035;21299;2019-03-13 03:05
124244035;23045;2019-03-13 03:05
124244035;24660;2019-03-13 03:05
124244035;25416;2019-03-13 03:05
124244035;21350;2019-03-13 03:05
124244035;16900;2019-03-13 03:05
124244035;30089;2019-03-13 03:05
124244035;4356;2019-03-13 03:05
124244035;30271;2019-03-13 03:05
124244035;23435;2019-03-13 03:05
124244035;26268;2019-03-13 03:05
124244035;22983;2019-03-13 03:05
124244035;17706;2019-03-13 03:05
124244035;31379;2019-03-13 03:05
124244035;30814;2019-03-13 03:05
124244035;30667;2019-03-13 03:05
124244035;26537;2019-03-13 03:05
124244035;31104;2019-03-13 03:05
124244035;31559;2019-03-13 03:05
124244035;31584;2019-03-13 03:05
124244035;30940;2019-03-13 03:05
124244035;30344;2019-03-13 03:05
124244035;31286;2019-03-13 03:05
124244035;23014;2019-03-13 03:05
124244035;31551;2019-03-13 03:05
124244035;24979;2019-03-13 03:05
124244035;25777;2019-03-13 03:05
124244035;31927;2019-03-13 03:05
124244035;31906;2019-03-13 03:05
124244035;25844;2019-03-13 03:05
124244035;32042;2019-03-13 03:05
124244035;23473;2019-03-13 03:05
124244035;21660;2019-03-13 03:05
124244035;31886;2019-03-13 03:05
124244035;32276;2019-03-13 03:05
124244035;32252;2019-03-13 03:05
124244035;31921;2019-03-13 03:05
124244035;32757;2019-03-13 03:05
124244035;25347;2019-03-13 03:05
124244035;32607;2019-03-13 03:05
124244035;23031;2019-03-13 03:05
124244035;33744;2019-03-13 03:05
124244035;119857;2019-03-13 03:05
124244035;33161;2019-03-13 03:05
124244035;33172;2019-03-13 03:05
124244035;31553;2019-03-13 03:05
